snr,class,model,mse
10,1,V2,0.0034901588
10,1,V1,0.0034636192
10,1,V2,0.003490157
10,1,V1,0.0034636196
10,1,V2,0.0034901584
10,1,V1,0.0034636196
10,1,V2,0.0034901602
10,1,V1,0.0034636196
10,1,V2,0.0034901595
10,1,V1,0.0034636194
10,1,V2,0.0034901584
10,1,V1,0.0034636194
10,1,V2,0.0034901593
10,1,V1,0.0034636203
10,1,V2,0.0034901612
10,1,V1,0.0034636199
10,1,V2,0.0034901595
10,1,V1,0.0034636206
10,1,V2,0.0034901607
10,1,V1,0.0034636199
10,1,V2,0.0034901584
10,1,V1,0.0034636194
10,1,V2,0.0034901584
10,1,V1,0.0034636199
10,1,V2,0.0034901602
10,1,V1,0.003463619
10,1,V2,0.0034901593
10,1,V1,0.0034636192
10,1,V2,0.003490158
10,1,V1,0.0034636194
10,1,V2,0.0034901584
10,1,V1,0.0034636203
10,1,V2,0.0034901602
10,1,V1,0.0034636203
10,1,V2,0.003490156
10,1,V1,0.0034636203
10,1,V2,0.0034901602
10,1,V1,0.0034636203
10,1,V2,0.0034901593
10,1,V1,0.0034636199
10,1,V2,0.0034901584
10,1,V1,0.0034636196
10,1,V2,0.0034901588
10,1,V1,0.0034636194
10,1,V2,0.0034901588
10,1,V1,0.0034636185
10,1,V2,0.0034901584
10,1,V1,0.00346362
10,1,V2,0.0034901593
10,1,V1,0.0034636196
10,1,V2,0.003490158
10,1,V1,0.003463619
10,1,V2,0.0034901565
10,1,V1,0.0034636182
10,1,V2,0.0034901593
10,1,V1,0.0034636203
10,1,V2,0.0034901588
10,1,V1,0.0034636196
10,1,V2,0.0034901584
10,1,V1,0.0034636199
10,1,V2,0.0034901588
10,1,V1,0.003463619
10,1,V2,0.0034901598
10,1,V1,0.0034636203
10,1,V2,0.0034901574
10,1,V1,0.0034636199
10,1,V2,0.0034901607
10,1,V1,0.0034636185
10,1,V2,0.0034901584
10,1,V1,0.0034636203
10,1,V2,0.003490159
10,1,V1,0.0034636185
10,1,V2,0.0034901565
10,1,V1,0.0034636213
10,1,V2,0.0034901595
10,1,V1,0.00346362
10,1,V2,0.0034901605
10,1,V1,0.00346362
10,1,V2,0.0034901584
10,1,V1,0.0034636196
10,1,V2,0.0034901572
10,1,V1,0.0034636194
10,1,V2,0.0034901605
10,2,V1,0.0034636208
10,2,V2,0.003490157
10,2,V1,0.003463619
10,2,V2,0.0034901588
10,2,V1,0.0034636203
10,2,V2,0.0034901598
10,2,V1,0.00346362
10,2,V2,0.0034901577
10,2,V1,0.009071449
10,2,V2,0.009615025
10,2,V1,0.01147446
10,2,V2,0.013202356
10,2,V1,0.0034636196
10,2,V2,0.003490158
